Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10U_25V","1210C",78.500000,-119.500000,-90.000000,top
"C2","1U","0805C",73.550000,-112.300000,0.000000,top
"C3","100N","0603C",82.400000,-128.500000,90.000000,top
"C4","22U_16V","1210C",78.500000,-125.400000,90.000000,top
"C5","10U_25V","1210C",69.600000,-131.200000,-90.000000,top
"C6","27P","0603C",94.030800,-123.494800,180.000000,top
"C7","27P","0603C",89.535000,-129.540000,180.000000,top
"C8","100N","0603C",119.507000,-142.240000,180.000000,top
"C10","100N","0402C",99.822000,-147.828000,180.000000,top
"C11","10U","0603C",84.607400,-128.600200,90.000000,top
"C12","100N","0402C",94.513400,-130.731200,-90.000000,top
"C13","100N","0402C",96.799400,-145.161000,90.000000,top
"C14","2U2","0402C",92.430600,-143.030000,-90.000000,top
"C15","2U2","0402C",90.144600,-141.935200,180.000000,top
"C16","100N","0402C",91.135200,-136.982200,90.000000,top
"C17","100N","0402C",95.499000,-143.764000,90.000000,top
"C18","100N","0402C",101.066600,-140.589000,180.000000,top
"C19","100N","0402C",89.936400,-140.538200,0.000000,top
"C20","100N","0402C",95.478600,-130.886200,-90.000000,top
"C21","1N","0603C",105.968800,-150.164800,-90.000000,top
"C22","100N","0402C",101.498400,-135.915400,180.000000,top
"C23","100N","0402C",90.546000,-139.573000,0.000000,top
"C24","100N","0603C",129.717800,-130.937000,180.000000,top
"C25","100N","0603C",125.933200,-132.156200,180.000000,top
"C26","100N","0603C",125.603000,-129.971800,0.000000,top
"C27","100N","0603C",111.404400,-125.171200,90.000000,top
"D1","SP0502BAHT","SOT-23",115.671600,-141.020800,90.000000,top
"D3","SOD4007","SOD-123F",72.771000,-103.121000,-90.000000,top
"D4","SP0502BAHT","SOT-23",93.726000,-147.193000,180.000000,top
"D5","SMAJ12CA","DO-214AC",90.487000,-150.632800,-90.000000,top
"D6","SP0502BAHT","SOT-23",130.129800,-133.342000,0.000000,top
"D9","SOD4007","SOD-123F",80.264000,-103.121000,-90.000000,top
"D10","SOD4007","SOD-123F",88.312800,-107.619800,0.000000,top
"F1","1812L075PR","1812",74.930000,-149.987000,180.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask1.5mm",67.716400,-91.897200,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask1.5mm",127.965200,-152.654000,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Mask1.5mm",132.332000,-104.343200,0.000000,top
"FID4","Fiducial","Fiducial_0.75mm_Mask1.5mm",72.110600,-152.857200,0.000000,top
"J7","BM04B-SRSS-TBT","BM04B",124.129800,-125.476000,90.000000,top
"J8","BM06B-SRSS-TBT","BM06B",106.807000,-126.288800,-90.000000,top
"J9","BM04B-SRSS-TBT","BM04B",109.626400,-136.855200,0.000000,top
"J10","BM10B-SRSS-TBT","BM10B",122.021600,-136.750800,180.000000,top
"J12","HRO-TYPE-C-31-M-12","HRO-TYPE-C",98.044000,-154.973700,0.000000,top
"L1","6U8","SLF7032",72.957500,-123.700000,-90.000000,top
"L2","6U8","SLF7032",90.792000,-102.045000,180.000000,top
"Q1","BSS138P","SOT-23",69.342000,-105.915000,0.000000,top
"Q2","BSS138P","SOT-23",76.835000,-105.915000,0.000000,top
"Q3","BSS138P","SOT-23",84.328000,-105.915000,0.000000,top
"Q4","STN4NF20L","SOT-223",76.327000,-136.398000,180.000000,top
"Q5","BSS138P","SOT-23",119.507000,-130.429000,-90.000000,top
"R1","5K1","0603R",91.897200,-155.473400,-90.000000,top
"R2","5K1","0603R",102.616000,-148.590000,180.000000,top
"R3","1M","0603R",104.140000,-150.876000,90.000000,top
"R4","27R4","0402R",94.483000,-143.030000,-90.000000,top
"R5","27R4","0402R",93.467000,-143.030000,-90.000000,top
"R6","100K","0603R",69.088000,-101.724000,0.000000,top
"R7","220R","0603R",69.088000,-103.375000,0.000000,top
"R9","100K","0603R",76.581000,-101.724000,0.000000,top
"R11","100K","0603R",84.074000,-101.724000,0.000000,top
"R13","100R","0603R",122.301000,-133.096000,0.000000,top
"R14","1M","0603R",69.950000,-117.700000,-90.000000,top
"R15","220R","0603R",76.581000,-103.375000,0.000000,top
"R17","220R","0603R",84.074000,-103.375000,0.000000,top
"R20","10K","0603R",78.600000,-130.700000,-90.000000,top
"R21","2K2","0603R",119.380000,-120.650000,-90.000000,top
"R22","2K2","0603R",121.158000,-120.650000,-90.000000,top
"R23","220R","0603R",124.409200,-150.215600,90.000000,top
"R24","220R","0603R",126.187200,-150.215600,90.000000,top
"R25","10K","0603R",116.967000,-130.937000,-90.000000,top
"R26","1K","0603R",109.093000,-141.859000,0.000000,top
"R27","1K","0603R",92.583000,-129.540000,180.000000,top
"R29","10K","0603R",123.063000,-131.572000,0.000000,top
"U1","LD1117S33TR","SOT-223",84.074000,-135.001000,180,top
"U2","TPS62112RSAR","QFN-16",74.200000,-116.600000,180.000000,top
"U3","W25Q128JVPIQ","WSON-8",101.976000,-144.653000,180.000000,top
"U4","RP2040","QFN-56",95.880000,-137.160000,180.000000,top
"Y1","ABMM2-12.000MHZ-E2-T","ABMM2",93.070000,-126.560000,180.000000,top